,total_rainfall,no_of_rainy_days,year,month_of_year,date,total_visitor_inbound,mean_temp
76,229.6,14,1988,5,1988-05-01,318454,28.4
77,252.2,13,1988,6,1988-06-01,319362,28.0
78,305.4,15,1988,7,1988-07-01,377985,27.3
79,80.1,14,1988,8,1988-08-01,388077,27.0
80,440.4,14,1988,9,1988-09-01,341254,27.1
81,134.6,17,1988,10,1988-10-01,365581,27.5
82,401.4,23,1988,11,1988-11-01,361734,26.3
83,62.9,11,1988,12,1988-12-01,393771,26.2
84,189.7,10,1989,1,1989-01-01,380096,26.5
85,52.4,3,1989,2,1989-02-01,353789,26.6
86,305.9,21,1989,3,1989-03-01,404795,26.3
87,198.6,17,1989,4,1989-04-01,375679,27.0
88,194.0,12,1989,5,1989-05-01,362982,27.3
89,117.6,12,1989,6,1989-06-01,367275,27.5
90,157.6,12,1989,7,1989-07-01,435972,27.7
91,201.0,18,1989,8,1989-08-01,443375,27.1
92,247.3,14,1989,9,1989-09-01,406340,26.9
93,111.0,16,1989,10,1989-10-01,423336,27.1
94,508.4,20,1989,11,1989-11-01,425918,26.7
95,179.7,18,1989,12,1989-12-01,450000,26.3
96,147.4,13,1990,1,1990-01-01,432993,26.2
97,24.1,8,1990,2,1990-02-01,424670,27.6
98,94.2,4,1990,3,1990-03-01,445528,28.2
99,52.4,10,1990,4,1990-04-01,430272,28.5
100,180.1,11,1990,5,1990-05-01,409797,28.6
101,112.6,9,1990,6,1990-06-01,409635,28.3
102,124.0,12,1990,7,1990-07-01,474861,27.5
103,146.6,13,1990,8,1990-08-01,492544,28.0
104,204.5,17,1990,9,1990-09-01,427523,27.2
105,56.4,12,1990,10,1990-10-01,435281,27.5
106,180.4,17,1990,11,1990-11-01,448573,27.2
107,201.1,16,1990,12,1990-12-01,488768,26.3
108,123.9,13,1991,1,1991-01-01,432267,26.7
109,45.5,7,1991,2,1991-02-01,363536,27.1
110,92.4,10,1991,3,1991-03-01,403287,27.8
111,134.2,13,1991,4,1991-04-01,418722,27.7
112,256.4,23,1991,5,1991-05-01,411284,27.7
113,88.7,9,1991,6,1991-06-01,445771,28.6
114,37.3,8,1991,7,1991-07-01,494626,28.5
115,226.2,8,1991,8,1991-08-01,519640,28.2
116,123.1,12,1991,9,1991-09-01,459836,27.5
117,52.0,5,1991,10,1991-10-01,472918,27.5
118,205.0,19,1991,11,1991-11-01,473327,26.3
119,492.3,19,1991,12,1991-12-01,519200,25.6
120,83.9,9,1992,1,1992-01-01,485463,26.6
121,62.4,4,1992,2,1992-02-01,500155,27.5
122,67.6,6,1992,3,1992-03-01,478996,28.2
123,160.3,13,1992,4,1992-04-01,485536,28.4
124,63.1,13,1992,5,1992-05-01,449648,28.1
125,162.8,14,1992,6,1992-06-01,472933,28.0
126,290.8,19,1992,7,1992-07-01,548049,27.3
127,76.1,11,1992,8,1992-08-01,547776,27.8
128,83.6,13,1992,9,1992-09-01,486642,27.3
129,233.2,20,1992,10,1992-10-01,488746,27.4
130,474.3,18,1992,11,1992-11-01,498866,26.1
131,502.7,23,1992,12,1992-12-01,547027,25.5
